Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2014","2014","kcal/capita/day","68","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2015","2015","kcal/capita/day","70","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2016","2016","kcal/capita/day","65","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2017","2017","kcal/capita/day","70","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2018","2018","kcal/capita/day","59","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2807","Rice and products","2019","2019","kcal/capita/day","66","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2014","2014","g/capita/day","1.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2015","2015","g/capita/day","1.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2016","2016","g/capita/day","1.21","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2017","2017","g/capita/day","1.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2018","2018","g/capita/day","1.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2807","Rice and products","2019","2019","g/capita/day","1.22","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2014","2014","g/capita/day","0.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2015","2015","g/capita/day","0.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2016","2016","g/capita/day","0.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2017","2017","g/capita/day","0.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2018","2018","g/capita/day","0.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2807","Rice and products","2019","2019","g/capita/day","0.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2014","2014","1000 tonnes","41","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2015","2015","1000 tonnes","38","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2016","2016","1000 tonnes","38","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2017","2017","1000 tonnes","40","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2018","2018","1000 tonnes","33","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2513","Barley and products","2019","2019","1000 tonnes","35","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2014","2014","kg","0.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2015","2015","kg","0.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2016","2016","kg","0.58","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2017","2017","kg","0.6","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2018","2018","kg","0.48","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2019","2019","kg","0.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2014","2014","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2015","2015","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2016","2016","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2017","2017","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2018","2018","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2513","Barley and products","2019","2019","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2014","2014","g/capita/day","0.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2015","2015","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2016","2016","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2017","2017","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2018","2018","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2019","2019","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2014","2014","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2015","2015","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2016","2016","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2017","2017","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2018","2018","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2019","2019","g/capita/day","0.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2014","2014","1000 tonnes","225","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2015","2015","1000 tonnes","199","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2016","2016","1000 tonnes","240","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2017","2017","1000 tonnes","214","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2018","2018","1000 tonnes","243","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2514","Maize and products","2019","2019","1000 tonnes","286","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2014","2014","kg","3.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2015","2015","kg","3.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2016","2016","kg","3.61","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2017","2017","kg","3.21","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2018","2018","kg","3.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2019","2019","kg","4.23","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2014","2014","kcal/capita/day","30","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2015","2015","kcal/capita/day","26","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2016","2016","kcal/capita/day","31","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2017","2017","kcal/capita/day","28","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2018","2018","kcal/capita/day","31","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2514","Maize and products","2019","2019","kcal/capita/day","37","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2014","2014","g/capita/day","0.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2015","2015","g/capita/day","0.6","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2016","2016","g/capita/day","0.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","0.64","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2018","2018","g/capita/day","0.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2019","2019","g/capita/day","0.85","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2014","2014","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2015","2015","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2016","2016","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2018","2018","g/capita/day","0.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2019","2019","g/capita/day","0.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2014","2014","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2015","2015","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2016","2016","1000 tonnes","26","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2017","2017","1000 tonnes","28","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2018","2018","1000 tonnes","47","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2515","Rye and products","2019","2019","1000 tonnes","38","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2014","2014","kg","0.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2015","2015","kg","0.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2016","2016","kg","0.39","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2017","2017","kg","0.42","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2018","2018","kg","0.7","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2019","2019","kg","0.56","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2014","2014","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2015","2015","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2016","2016","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2017","2017","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2515","Rye and products","2019","2019","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2014","2014","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2015","2015","g/capita/day","0.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2016","2016","g/capita/day","0.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2017","2017","g/capita/day","0.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2018","2018","g/capita/day","0.14","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2515","Rye and products","2019","2019","g/capita/day","0.11","Fc","Calculated data"
